[2019-08-04 23:16:16,646] INFO Server environment:java.class.path=/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/activation-1.1.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/aopalliance-repackaged-2.5.0-b42.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/argparse4j-0.7.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/audience-annotations-0.5.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/commons-lang3-3.8.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-api-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-basic-auth-extension-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-file-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-json-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-runtime-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/connect-transforms-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/guava-20.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/hk2-api-2.5.0-b42.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/hk2-locator-2.5.0-b42.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/hk2-utils-2.5.0-b42.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-annotations-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-core-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-databind-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-datatype-jdk8-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-jaxrs-base-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-jaxrs-json-provider-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jackson-module-jaxb-annotations-2.9.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javassist-3.22.0-CR2.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.annotation-api-1.2.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.inject-1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.inject-2.5.0-b42.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.servlet-api-3.1.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.ws.rs-api-2.1.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/javax.ws.rs-api-2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jaxb-api-2.3.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-client-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-common-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-container-servlet-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-container-servlet-core-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-hk2-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-media-jaxb-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jersey-server-2.27.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-client-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-continuation-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-http-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-io-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-security-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-server-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-servlet-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-servlets-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jetty-util-9.4.14.v20181114.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/jopt-simple-5.0.4.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-clients-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-log4j-appender-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-streams-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-streams-examples-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-streams-scala_2.12-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-streams-test-utils-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka-tools-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka_2.12-2.2.1-sources.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/kafka_2.12-2.2.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/log4j-1.2.17.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/lz4-java-1.5.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/maven-artifact-3.6.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/metrics-core-2.2.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/osgi-resource-locator-1.0.1.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/plexus-utils-3.1.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/reflections-0.9.11.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/rocksdbjni-5.15.10.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/scala-library-2.12.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/scala-logging_2.12-3.9.0.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/scala-reflect-2.12.8.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/slf4j-api-1.7.25.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/slf4j-log4j12-1.7.25.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/snappy-java-1.1.7.2.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/validation-api-1.1.0.Final.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/zkclient-0.11.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/zookeeper-3.4.13.jar:/Users/eniyanilavan/Eni/kafka_2.12-2.2.1/bin/../libs/zstd-jni-1.3.8-1.jar (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:java.library.path=/Users/eniyanilavan/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:. (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:java.io.tmpdir=/var/folders/c4/pq56dj152ln1zw3z2cvrz6xm0000gn/T/ (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:java.compiler=<NA> (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:os.name=Mac OS X (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:os.arch=x86_64 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:os.version=10.14.5 (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,647] INFO Server environment:user.name=eniyanilavan (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,648] INFO Server environment:user.home=/Users/eniyanilavan (org.apache.zookeeper.server.ZooKeeperServer)
[2019-08-04 23:16:16,648] INFO Server environment:user.dir=/Users/eniyanilavan/Eni/kafka_2.12-2.2.1 (org.apache.zookeeper.server.ZooKeeperServer)
